questions,answers
Vậy trung bình một năm khoảng bao nhiêu vậy ạ?,Trung bình 1 năm thì rơi vào khoảng 30.000.000đ.
Vậy 1 môn chuyên ngành khoảng bao nhiêu tín ạ?,3 hoặc 4 tín 1 môn.
Vậy học bao nhiêu tín thì em đủ ra trường?,Em tích lũy đủ 132 tín là tốt nghiệp trường được.
Sinh viên cuối năm phải làm luận án mới được tốt nghiệp đúng không ạ?,Em có thể thay thế bằng cách học 12 chỉ thay cho luận án nha!
Giảng viên trong trường mình khó không ạ?,Em nghe lời thầy cô với chăm chỉ học tập là khó cũng thành dễ thôi.
Bên mình có bán váy dài đi biển không ạ?,Có nha! Bên em có rất nhiều mẫu váy thích hợp để đi biển.
Có thể cho em tham khảo mấy mẫu đó được không?,Tất nhiên rồi chị! Đây là 40 mẫu váy thích hợp đây ạ!
Váy bên mình là tự thiết kế hay sao ạ?,"Dạ đúng rồi, tất cả đều là mẫu váy do chính shop thiết kế và đặt may ạ!"
Chất vải nào mặc thoải mái vậy ạ?,"Mình có thể tham khảo mẫu voan mỏng, vừa mát vừa giúp thân hình thanh mảnh nhé!"
Giá bên mình thì dao động từ bao nhiêu đến bao nhiêu ạ?,Tùy vào chất liệu và dáng váy mà có giá từ 200.000đ đến 2.000.000đ ạ.
Mẫu váy chất liệu voan có dễ giặt không ạ?,"Vì nó là voan nên mình nên nhẹ tay khi giặt, nếu có thể thì giặt tay càng tốt nha ạ!"
Giá mẫu váy đó bên mình như thế nào ạ?,"Váy dài trên đầu gối thì 500.000đ, ngang bắp chân thì 700.000đ, còn qua mắt cá thì 900.000đ ạ."
Bây giờ em đặt ship đến Đồng Nai thì bao lâu đến ạ?,Khoảng 2-3 ngày là tới nha!
Cho em xin giá ship luôn ạ?,Vì chị ngoài tỉnh thành Thành Phố Hồ Chí Minh nên phí là 35k chị nha!
"Chị sắp chuyển ra kí túc xá, không biết em có biết chỗ phòng trọ nào ok không?","Em đang ở gần Lotte Mart á, em thấy ở đó ok."
Phòng ốc ổn không em?,"Ổn lắm chị, còn yên tĩnh nữa nên ok lắm."
Ở đó còn nhiều phòng trống không em?,"Em không chắc, nhưng hôm bữa thì còn khoảng 4 phòng á chị."
Giá phòng ở đó sao á em?,Giá phòng thì khoảng 1.800.000đ đến 4.000.000đ á chị.
Chị ở một mình mà đồ đạc nhiều lắm thì phòng cỡ nhiêu là vừa em?,"Vậy thì chị có thể tham khảo phòng 2.000.000đ á, em thấy rộng rãi."
Chủ nhà có khó tính không?,"Không đâu chị, chú chủ nhà dễ thương lắm! Hay cho tụi em trái cây ăn."
Chiều nay chị qua xem phòng được không em?,"Được á chị, chiều thường chú không đi đâu. Qua gọi em."
Cậu đang làm gì đó ? Đừng kêu mình là cậu đang xem phim nha!,"Sao cậu biết hay vậy, dạo này có mấy bộ phim mới ra hay lắm."
Phim gì vậy? Có phải phim Mr.Queen không? Nghe đồn phim đó đang hot.,"Đúng rồi đó! Phim hay cực luôn, mình xem mà ghiền xiên ghiền vẹo."
"Chời ơi là chời, ngoài xem phim ra cậu còn làm gì không?",Thường thì mình hay ra ngoài chơi với bạn á!
Thế cậu có hay đi uống trà sữa không?,Trời ơi! Không đi uống trà sữa là một thiệt thòi lớn luôn á nghen!!
"Haha, tán thành! Thế cậu có hay đi ăn uống không?","Có luôn, mình thích ăn còn hơn uống trà sữa nữa! Nhất là đi ăn lẩu đó!"
How about shopping? What do you think?,Yes!!! Đó là những điều không thể thiếu nếu cậu đang stress rồi!
"Okay, mình công nhận đó. Mà cậu hay đi shopping ở đâu thế ?","Mình có nhiều shop tủ lắm, nhưng hầu như nó nằm ngay quận 1 đó!"
"Cậu ví dụ mình xem, KiDo Since, SheByShe?",Haha chuẩn luôn rồi cậu ơi!
Vậy nào rảnh mình hẹn cái hẹn đi mua đồ cho thư giãn ha?,"Ok cậu luôn nha, mình rất thích! Gần Tết nữa đi mua là hợp lý rồi!"
"Chị H, chị có thích ai bao giờ chưa?","Có rồi á em, mà hồi đó lâu lắm rồi. Đến bây giờ thì chị chưa thích ai khác nữa!"
Gu người con trai của chị là như thế nào vậy?,"Chị thích con trai trưởng thành một chút, chị không quá coi trong ngoại hình."
Người hồi đó chị thích trưởng thành lắm hả?,"Có thể nói là như vậy, vì anh đó lớn hơn chị 5 tuổi lận."
"Nếu chị đang hẹn hò với một người, thì chị sẽ thích làm gì khi hẹn hò?","Chị thích đi vòng ngắm thành phố, la cà ăn đây đó vì chị thích ăn lắm!"
Chị có thích đi xem phim với nhau không?,"Cũng thích, chị thích ở nhà bật phim xem rồi ăn uống gì đó hơn là ra rạp phim xem."
Chị nghĩ mới đầu quen thì nên đi đâu chơi bây giờ?,Chị thì sẽ đi uống trà sữa rồi ngồi nói chuyện cho hiểu đối phương.
Robot 23 có nghe rõ tui nói không?,"Dạ, Robot 23 nghe rõ trả lời chị đây ạ!"
"Đố em, bầu trời rộng hơn hay đại dương rộng hơn?",Em chưa tự khám phá được nhưng mà theo dữ liệu thống kê thì em trả lời là bầu trời ạ.
"Vy ơi, Tết này mày có tính về quê không?","Không á mày ơi, dạo này dịch quá! Chắc năm sau tao về á!"
Quê mày ở Hà Tĩnh-Nghệ An mà đúng không?,Đúng rồi! Giờ ra đó đang lạnh lắm! Ra là thở ra khói đó!
Ghê vậy! Thế có tuyết không?,"Không có tuyết, nhưng mà lúc mày nói chuyện là khói bay phà phà như hút thuốc lào á!"
Thế dưới đó có gì đẹp không mày?,"Ở chỗ tao là vùng nông thôn, nên nhiều ruộng rồi trâu rồi bò lắm!"
"Tao trên thành phố từ nhỏ nên không hay thấy. Ê, mốt về dắt tao về chơi với được không?","Được chứ, về đi tao cho mày biết lội ruộng bắt ốc với chăn trâu là như thế nào."
trường mình học quân sự ở đâu vậy ạ?,"trường mình học quân sự tại trường, cơ sở Bảo Lộc hoặc cơ sở Nha Trang nha em"
cho em hỏi khoa công nghệ thông tin có mấy chuyên ngành ạ?,khoa có 3 chuyên ngành chính nha em
cho em hỏi thầy cô trong trường giảng dạy thế nào ạ?,"thầy cô trường mình giảng dạy nhiệt tình, tận tâm với nghề nha em"
trường có tổ chức hoạt động vui chơi cho sinh viên không ạ?,các khoa trường mình năm nào cũng có tổ chức nhiều hoạt động cho sinh viên nha
kí túc xá của trường được đánh giá như thế nào?,"kí túc xá ok lắm, nhưng kỷ luật cao"
học ở TDTU vui không bạn?,học ở đây vui lắm nha
trường mình có tổng cộng bao nhiêu ngành đào tạo vậy ạ?,trường mình có 39 ngành đào tạo nha
thầy cô trong trường có nhiệt tình hỗ trợ các bạn sinh viên không ạ?,các thầy cô trong trường rất nhiệt tình trong giảng dạy và hỗ trợ sinh viên bạn nhé
trường mình đầu ra có đảm bảo việc làm cho sinh viên không ạ?,đại học tôn đức thắng đảm bảo 99 phần trăm cơ hội việc làm cho các bạn sinh viên ra trường nha
cơ sở vật chất của trường mình có tốt không ạ?,cơ sở vật chất trường mình đạt 5 sao theo tiêu chuẩn quốc tế luôn nha
thư viện trường mình có xịn không ạ?,thư viện trường mình được xem là một trong những thư viện tốt nhất đông nam á nha
các bạn sinh viên trong trường có thân thiện với nhau không ạ?,các bạn sinh viên tôn đức thắng rất thân thiện với nhau vì các bạn luôn tuân theo các quy chuẩn đạo đức của trường đặt ra
trường mình có cho phép người ngoài được vào tham quan trường không ạ?,được bạn nha nhưng mình phải có sự đồng ý của bảo vệ và có thẻ khách tham quan của trường
trường mình có bao nhiêu hồ bơi vậy ạ?,trường mình có tổng cộng 2 hồ bơi nha
trường mình có nhiều câu lạc bộ không ạ?,trường mình có rất nhiều câu lạc bộ thuộc nhiều lĩnh vực khác nhau để các bạn sinh viên có thể tham gia
em muốn hỏi là thầy cô của trường như thế nào?,thầy cô rất tâm huyết với sinh viên
dạ em muốn biết trường mình có gì đặc biệt hơn trường khác?,trường mình có thư viện tốt nhất nước
em muốn hỏi trường mình có kí túc xá riêng không?,trường có 3 kí túc xá riêng
cho em hỏi là chất lượng phòng học có tốt không?,"phòng học đầy đủ tiện nghi, ánh sáng, tới máy lạnh không thiếu gì cả"
dạ cho em hỏi có bao nhiêu chương trình dạy học ở TDTU?,có 3 hệ chương trình ở TDTU
cho em hỏi trường có wifi không vậy ạ ?,trường mình có wifi nhé em
nhà xe của trường có hay bị kẹt xe không vậy ạ ?,trường mình không bị kẹt xe em nhé
cho em hỏi học phí trường mình có cao không ạ ?,trường mình học phí cũng bình thường thôi em
cho em hỏi thầy cô trường mình có chuyên môn cao không ạ ?,thầy cô trường mình có trình độ chuyên môn cao em nhé
cho em hỏi cơ sở vật chất trường mình có tốt không vậy ạ ?,trường mình có cơ sở vật chất tốt em nhé
"em nghe bảo trường mình có kí túc xá, không biết có đúng không ạ ?",đúng rồi em nhé
trường TDT có sân golf không bạn?,trường mình có một sân golf rất lớn nha
học phí của trường có đắt lắm không nhỉ?,học phí trường TDT là 50 triệu một năm nha
bạn có yêu trường không?,"có chứ, mình rất yêu trường"
trường mình nghe nói gửi xe lâu lắm hả?,"ừ, mình cũng thấy gửi xe rất lâu"
Trường có tổng cộng bao nhiêu các ngành ?,Hiện tại gồm 39 ngành theo chất lượng tiêu chuẩn
Số lượng giảng viên là bao nhiêu ?,Gồm 1320 giảng viên
Trường có thư viện không ?,Thư viện của trường tự hào là một trong những thư viện hiện đại và đầy đủ tài liệu nhất của TP Hồ Chí Minh
Học phí mỗi năm cần phải đóng cho trương trình đại trà ?,"Mỗi năm dao động từ 40-50 triệu, và có nhiều chính sách học bổng."
"Cô ơi, trường mình có chỗ nào để rèn luyện thể dục thể thao không ạ?","Trường mình có nhà thi đấu, hồ bơi, sân tennis, sân bóng rổ, ... Đều có thể dùng để rèn luyện thể thao nhé"
"Anh hướng dẫn ơi, trường mình có bao nhiêu tòa chính thế ạ?","Trường mình có các tòa lớn chính như tòa A, B, C, D, E, F, G và các tòa ký túc xá như H, I. Còn một số nữa mà anh chợt không nhớ"
"Trong khoa Công nghệ thông tin, thì mình có các ngành chính như nào vậy cô ạ?","Khoa Công nghệ thông tin có các ngành như Khoa học máy tính, Kỹ thuật phần mềm, Mạng máy tính và truyền thông dữ liệu"
Trong trường mình giữ xe như thế nào vậy anh?,"Dưới mỗi tòa lớn đều có các nhà gửi xe em nha, tòa A là tòa đặc biệt dành cho giảng viên và còn các nhà gửi xe ngoài trời và cũng như dưới nhà thi đấu"
Trường mình thế nào cũng có giám thị phải không anh?,"Tất nhiên là có rồi em, các anh chị giám thị đều đảm nhiệm từng tầng trong các tòa lớp. Em để ý sẽ thấy các anh chị sẽ ngồi ở các bàn"
Các phòng vệ sinh trường mình phân bố như thế nào vậy cô ơi?,"Mỗi tòa nhà thường thì sẽ có các nhà vệ sinh, các nhà vệ sinh ở các tầng trệt và gần trệt thường thì sẽ là các nhà vệ sinh dành cho giảng viên. Ở mỗi tầng đều có các nhà vệ sinh"
Khoa Công nghệ thông tin gồm những ngành nào?,"Có 3 ngành chính: Khoa học máy tính, Kỹ thuật phần mềm, Truyền thông và Mạng máy tính"
Trường Tôn Đức Thắng có gì khác biệt so với trường khác không?,"Trường Tôn Đức Thắng phải mặc đồng phục vào thứ 2 và thứ 5 hằng tuần hoặc trong các buổi lễ quan trọng. Bạn nữ mặc áo dài truyền thống, nam thì mặc áo sơ mi trắng, quần tây"
Trường có cần bằng tiếng Anh để tốt nghiệp không?,"Trường cần bằng TOEIC, IELTS, PET tùy theo khóa sẽ có số điểm tối thiểu khác nhau để ra trường bạn nhé"
Trường có xét học bạ không?,"Có nhé bạn, bạn hãy theo dõi trang của trường để cập nhật thông tin mới nhất về việc xét học bạ vào trường"
"Trường mình có khu vui chơi giải trí , như bóng đá , cầu lông không?","Trường TDTU có nhiều môn thể thao do trường tổ chức , bạn có thể tham gia vào các nhóm Có nhiều bộ môn thể thao như cầu lông , tenis và cả bóng đá ..."
"Trường TDTU thư viện mở cửa vào lúc mấy giờ , hoạt động vào thứ mấy trong tuần?","Thư viện TDTU mở của vào 7 giờ am và kết thúc lúc 5 giờ am, làm việc từ thứ hai đến thứ bảy hàng tuần trừ các ngày lễ"
"Trường mình có bao nhiêu căn tin để phục vụ sinh hoạt , ăn uống ?","Trường tổng cộng có 4 căn tin , căn tin  nhà D , căn tin thư viện , căn tin dãy F , căn tin tại khu ký túc xá mở phục vụ các bạn có thể ăn uống tại đây"
"Trường có mấy nhà xe gửi, có kẹt xe khi gửi xe không?","Trường có 4 chỗ gửi xe cho các bạn có thể gửi , giá vé gửi xe là 2 nghìn vnd. Sinh viên đi học đông có thể có kẹt xe."
Trường có khoa công nghệ thông tin để em dự định theo học không ạ?,"Cảm ơn bạn quan tâm ,Hiện tại trường có khoa công nghệ thông tin, với nhiều ngành cho các bạn chọn lựa như khoa học máy tính , chuyên ngành mạng , hệ thống thông tin vv.."
cho mình hỏi ngành học của bạn là gì?,ngành mình học là ngành khoa học máy tính.
học phí trung bình của bạn 1 năm là bao nhiêu tiền?,ngành mình học học phí trung bình khoảng 20 triệu 1 năm.
thường thì ngành của bạn học bao nhiêu năm là ra trường?,"ngành mình trung bình sẽ là 4 năm, nhưng tuỳ vào người học có thể sớm hơn hoặc trễ hơn."
cho em hỏi là mức học phí của trường mình như thế nào dạ ?,thường thì trường mình có mức học phí giao động từ 20 -24 triệu mỗi năm
vậy cơ sở vật chất thì như thế nào vậy ?,"cơ sở vật chât khỏi chê, trường có có thư viện xin nhất trong các trường đại học"
cho em hỏi ngành nào đang hot nhất hiện nay ạ ?,"có thể nói trong thời đại 4.0 thì các ngành liên quan đên công nghệ như IT, điện điện tử, đang trở nên hot"
thây cô trong trường này thế nào ạ ?,"các thầy cô đều có kiến thức chuyên môn cao, tận tình trong việc giảng dạy và tận tụy với nghề"
trường có hỗ trợ học bổng gì không ạ ?,nếu em có học lực từ 8.0 trở lên và có điểm hoạt động trên 80 thì em có thể hoàn toàn nhận được học bổng
vậy thì khi nào trường mới có mở đợt xuyêt duyệt học bạ vậy ?,cái này thì em lên trang chủ của trường học lên fanpage trên facebook để cập nhật thông tin chính xác nha
Cho em hỏi là trường mình có ký túc xá không ạ?,"Có, trường mình có đến 2 khu ký túc xá"
Cho em hỏi là trường mình xét tuyển vào với mấy hình thức ạ?,Xét tuyển bằng học bạ và xét tuyển bằng điểm thi tốt nghiệp em nhé
Cho em hỏi là trường mình có môn bơi không ạ?,"Có, trường mình với tiêu chí bắt buộc học qua môn bơi mới được ra trường"
Trường mình có nhiều phong trào thiện nguyện không ạ?,"Có em nhé, trường mình có rất nhiều phong trào đoàn hội."
Học phí ở trường có đắt không?,Tùy vào hệ tiêu chuẩn hay là chất lượng cao sẽ có mức học phí khác nhau
Cửa hàng của mình bán những loại thiết bị gì?,"Bán đồ điện tử bao gồm máy tính các loại, và có cả điện thoại"
Cửa hàng của mình bán những dòng máy tính nào?,"Bán rất nhiều loại gồm có: Asus, MSi, Apple, Acer, Lenovo,..."
Cửa hàng của mình có bán quần áo không?,"Có cửa hàng mình bán cả áo thun của các nhãn hàng Asus, MSi,...."
Cửa hàng mình có hỗ trợ nâng cấp máy tính không?,"Có , bên mình hỗ trợ nâng cấp Ram, Ổ cứng và sửa chữa."
Cửa hàng mình có bao nhiêu gói bảo hành khi mua sản phẩm?,"Có các gói bảo hành 6 tháng, 12 tháng đến 3 năm"
Cửa hàng có hổ trợ lắp đặt tận nhà không?,Nhân viên bên mình sẽ đến tận nhà để lắp đặt cho sản phẩm của bạn
trường mình có đặc điểm gì nổi bật vậy anh,trường mình nổi bật nhất là có thư viện 129 tỷ rất hiện đại em nhé
các anh chị sinh viên trường mình có gì khác biệt anh nhỉ,"sinh viên của TDTU có 5 đặc điểm nhận dạng đó là kỉ luật, lễ phép, chuyên nghiệp, sáng tạo, phụng sự"
người ta thường nói vui về trường học 4 mùa như Đà lạt là sao ạ?,vì mỗi phòng học đều có nhiều máy lạnh và bắt 24/24 bạn nhé
cho em hỏi bao nhiêu tín chỉ thì được tốt nghiệp vậy ạ,tùy thuộc vào từng ngành mà sẽ quy định số lượng tín chỉ tối thiểu để tốt nghiệp em nhé
trường mình có thực hiện trang phục truyền thống không ạ,"có em nhé, nam áo sơ mi trắng nữ áo dài vào thứ 2 và thứ 5"
trường mình có bao nhiêu khoa vậy chị?,16 khoa á em.
các chương trình học bên trường mình thì sao ạ?,"bên trường mình có 3 chương trình chính. tiêu chuẩn, chất lượng cao và tiêu chuẩn."
cho em hỏi thêm về học phí với ạ?,"tiêu chuẩn thì khoảng 22 triệu, clc và tiêu chuẩn thì khoảng 50 triệu."
"thầy cô trường mình có thân thiện, giảng có dễ hiểu không ạ?","thầy cô trường mình vui lắm em, giảng bài dễ hiểu lắm, đi học như đi chơi á."
các tiện ích trong trường thì sao chị?,"tiện nghi lắm em, gì cũng có."
"vậy chị học ngành gì vậy, chị review cho em nghe với!","chị học CNTT, con gái học ngành này cũng thú vị lắm, chị cũng có những người bạn tốt luôn giúp đỡ nhau trong học tập nên thấy cuộc sống đại học khá là thú vị. nếu em thích học toán và đam mê công nghệ, đam mê tìm kiếm cái mới thì thử tìm hiểu về CNTT nhé."
"Em nghe nói là lên đại học sẽ có người yêu, có đúng không ạ?","haha, với mọi người thì đúng chứ với chị thì không."
ngành này ít nữ vậy nhóm bạn chị chơi có bao nhiêu người nữ vậy chị?,nhóm chị 8 người có mình chị là nữ thôi em.
vậy các anh trong nhóm có ưu tiên cho chị không?,"không em, tụi nó xem chị giống như con trai vậy."
vậy chị học có giỏi không ạ?,chị học bình thương thôi em.
sao hồi đó chị chọn CNTT vậy ạ?,tại chị rớt công an.
Các thầy cô trông trường như thế nào ạ?,Các thầy cô rất thân thiện và nhiệt tình với sinh viên.
Trường có các tiện ích gì vậy ạ?,"Ngoài căn tin và ký túc xá thì trường còn cung cấp các quán nước, phòng gym, hồ bơi, sân bóng và còn nhiều thứ khác nữa."
Học phí trong trường có đắt không ạ?,cái này tùy vào từng người nhưng mình thường nghe mọi người bảo đắt.
Nếu em theo học ngành CNTT ở trường thì cần bao lâu để tốt nghiệp?,Em cần 4 năm và trong 4 năm đó em phải hoàn thành tổng cộng 138 tín chỉ và nhiều yêu cầu khác.
trường Đại Học Tôn Đức Thắng đào tạo bao nhiêu ngành cậu nhỉ?,"chương trình tiêu tuẩn gồm 40 ngành, là chương trình đào tạo các kỹ sư/ cử nhân/ kiến trúc sử/ dược sĩ."
Cậu có thể liệt kê ra tất cả các khối ngành mà TDTU đang đào tạo không?,"hiện tại trường Đại Học Tôn Đức Thắng đang đào tạo tổng cộng 17 khối ngành bao gồm: công nghệ thông tin, mỹ thuật công nghiệp, kỹ thuật công trình, điện - điện tử, tài chính ngân hàng, toán - thống kê, quản trị kinh doanh, kế toán, giáo dục quốc tế, khoa học ứng dụng, luật, khoa học thể thao, dược, khoa học xã hội & nhân văn, ngoại ngữ, môi trường & bảo hộ lao động, lao động công đoàn"
học phí một học kì dao động trong khoảng bao nhiêu câu nhỉ?,"đối với chương trình tiêu chuẩn là từ 8 triệu trở lên một học kì, còn với chương trình chất lượng cao là từ 20 triệu trở lên một học kì"
chương trình đào tạo tại TDTU như thế nào cậu nhỉ?,"Đại học Tôn Đức Thắng (TDTU) cung cấp nhiều chương trình giáo dục bậc đại học đào tạo trong các lĩnh vực kinh tế, quản trị, xã hội học, du lịch, ngôn ngữ học, kỹ thuật hóa học, công nghệ sinh học, công nghệ thông tin, luật, mỹ thuật công nghiệp, dược, toán – thống kê, xây dựng, kiến trúc, điện – điện tử, khoa học thể thao,… nhằm đào tạo nguồn nhân lực đáp ứng thị trường lao động và xu hướng hội nhập toàn cầu. Người học có thể chọn học đại học tại TDTU với Chương trình tiêu chuẩn, Chương trình chất lượng cao, Chương trình đại học bằng tiếng Anh hoặc Chương trình du học luân chuyển campus (liên kết quốc tế)."
giảng viên của trường như thế nào nhỉ?,"giảng viên tại TDTU đều là những người có chuyên môn cao, lịch sự, vui vẻ và tận tình với sinh viên và với công việc chuyên môn."
có những tiện ích nào trong khuôn viên trường vậy cậu?,"trường Đại Học Tôn Đức Thắng tự hào là trường có thư viện to nhất Việt Nam với tổng chi phí đầu tư là 127 tỉ gồm 5 lầu và rất nhiều đầu sách đủ mọi chủ đề từ văn học đến công nghệ. Khuôn viên trường rộng rãi thoáng mát sạch sẽ với nhiều cây xanh che bóng mát. Phòng học được trang bị máy chiếu và máy lạnh hiện đại giúp trãi nghiệm học tập của người học tốt hơn và hiệu quả hơn, canteen trường có nhiều món ngon và phù hợp với túi tiền của sinh viên."
vậy sinh viên trường thì sao?,"sinh viên trường Tôn Đức Thắng nổi tiếng năng động và tài năng với nhiều giải thưởng từ trong nước đến quốc tế, điểm nổi bật là tính tự giác và ý thức cao như: không xả rác trong khuôn viên trường, xếp hàng khi ra vào thang máy,..."
vậy còn công nhân viên của trường thì sao?,"đội ngũ công nhân viên của trường luôn luôn thân thiện, vui vẻ và trách nhiệm với công việc và với sinh viên."
cơ sở vật chất của trường có tốt không?,"trường Đại Học Tôn Đức Thắng tự hào là một trong những trường đại học hiện đại nhất nước với cơ sở vật chất hiện đại, khang trang và sạch sẽ."
Cậu thường mua quần áo ở đâu?,"mình tin dùng các hãng quần áo từ trong đến ngoài nước như Yame, Uniqlo, Adidas. Đôi khi mình cũng hay săn đồ secondhand, đồ đã qua sử dụng ở hội chợ hay các lễ hội mua sắm."
Cậu thường mua giày dép ở đâu?,"đối với giày dép thì mình đặt biệt chú trọng chất lượng, thế nên: Yame, Uniqlo, Nike luôn là lựa chọn hàng đầu của mình về chất lượng cũng như giá cả."
mình có thể tìm mua máy tính ở đâu nếu học Tôn Đức Thắng?,"Cậu có thể chọn các nhãn hàng lớn với chuỗi cửa hàng trãi dài từ Nam ra Bắc như Phong Vũ, Thế giới di động, FPT shop hay cũng có thể chọn nhà phân phối nhỏ hơn như GEARVN."
mình có thể tìm mua sách ở đâu trong khu vực quận 7 và các quận lân cận?,"cậu có thể tìm đến chuỗi nhà sách Nguyễn Văn Cừ có mặt tại khắp các quận ở thành phố Hồ Chí Minh hoặc trong các trung tâm mua sắm lớn như Lotte, Vivo City, Cresent mall, siêu thị BigC."
"vậy còn nơi làm thêm, mình có thể tìm việc dễ dàng ở quận 7 không?","cậu có thể dễ dàng xin việc vào các chuỗi cửa hàng tiện lợi lớn ở HCM như: seven - eleven, circle K, family mart. Hoặc các chuỗi quán cà phê lớn như The Coffee House, Cộng cà phê, Phúc Long, Starbuck."
trường mình có tất cả bao nhiêu ngành nhỉ?,trường mình có 40 ngành nha bạn
thư viện trường mình bao nhiêu tiền ấy?,thư viện trường mình 129 tỷ nha bạn
nghe bảo thư viện trường mình là do các bạn sinh viên mỹ thuật công nghiệp khóa trước thiết kế à?,đúng là như vậy đó bạn
trường mình là trường công hay bán công hay tư bạn nhỉ?,trường mình là trường công lập đó bạn
trường TDTU tọa lạc ở đâu?,ở địa chỉ 19 Nguyễn Hữu Thọ phường Tân Phong quận 7 nha bạn
Bạn có biết trong trường TDTU có nhiều clb không?,"Trường TDTU có rất nhiều clb bổ ích để rèn luyện bản thân như là clb thể thao, clb học thuật của các khoa, clb múa, clb hát, clb nhảy,..."
Trường TDTU có phải mặc đồng phục không?,"Trường mình phải mặc đồng phục vào thứ 2 và thứ 5 hàng tuần, bạn nữ thì mặc áo dài đồng phục, bạn nam thì mặc áo sơ mi trắng và quần tây."
Trong trường có ký túc xá cho sinh viên không?,"Trường mình có 4 tòa ký túc xá, 2 tòa cho sinh viên nam và 2 tòa cho sinh viên nữ, tòa H và I thì được đưa vào sử dụng từ năm 2010 còn ký túc xá mới K và L được đưa vào sử dụng năm 2019."
Trường TDTU có gì đặc biệt không?,Mọi học sinh trong TDTU phải học môn Bơi để được ra trường.
gồm những ngành nào ạ,"bao gồm khoa học máy tính, mạng và truyền thông nhé"
chuẩn đầu ra tiếng anh là gì vậy ạ,chuẩn đầu ra toeic 550 em nhé
tiếng anh có thầy cô nước ngoài không ạ,lớp tiếng anh có thầy cô nước ngoài em nhé
giảng viên trường mình thế nào ạ,giang viên trường được thỉnh giảng và giáo viên cơ hữu trường
nghe nói trường có thư viện rất lớn,thư viện trường phục vụ hàng nghìn sinh viên và tài liệu theo học em nhé
trình độ đào tạo của trường thế nào ạ,trường đào tạo đại trà và chất lượng cao em nhé
học phí khác biệt thế nào ạ,chất lượng cao học phí cao hơn và chất lượng sẽ tốt hơn nhiều em nhé
trường có ktx đăng ký thế nào ạ,"em tìm hiểu form đăng ký xét ở ktx em nhé, form được đăng trên page của trường"
đóng học phí thế nào ạ,em đóng theo hướng dẫn trên hệ thống thông tin sinh viên trường nhé
Dạ có rồi thầy,Em lên quầy dịch vụ để nộp tiền vào tài khoản nha.
"Dạ, quầy dịch vụ ở lầu mấy vậy thầy ?",Lầu 3 nha em
Làm sao để em biết em còn bao nhiêu tiền vậy thầy ?,"Em vào trang hệ thống thông tin, vào mục học phí để xem nha em"
"Dạ thầy, mà một giờ sử dụng máy tính là bao nhiêu tiền vậy thầy",1 giờ sử dụng máy tính là 3000 nha em
Dạ có rồi thầy,Em lên quầy dịch vụ để nộp tiền vào tài khoản nha.
"Dạ, quầy dịch vụ ở lầu mấy vậy thầy ?",Lầu 3 nha em
Làm sao để em biết em còn bao nhiêu tiền vậy thầy ?,"Em vào trang hệ thống thông tin, vào mục học phí để xem nha em"
"Dạ thầy, mà một giờ sử dụng máy tính là bao nhiêu tiền vậy thầy",1 giờ sử dụng máy tính là 3000 nha em
bạn có thích ngành mình học không?,mình không biết
khoa bạn học có các ngành gì?,"Mạng máy tính và truyền thông dữ liệu, kỹ thuật phần mềm, khoa học máy tính,...."
trường bạn có những khoa nào?,"Dược, Điện - Điện tử, Kế toán, tài chính marketing,..."
học phí trường một năm là bao nhiêu?,học phí trường mình khoảng 10-15 tr tùy vào ngành học
trường bạn có câu lạc bộ gì không?,"trường mình có nhiều câu lạc bộ như bóng rổ, bỏng đá, ca hát,...."
phòng học có trang bị máy lạnh không ạ?,mỗi phòng học đều được trang bị máy lạnh em nhé
học quốc phòng là mình có học tại trường không ạ?,"có em nhé, học quốc phòng thì chúng ta sẽ được học tại trường"
cho em hỏi bao nhiêu tín chỉ thì được tốt nghiệp vậy ạ?,tùy thuộc vào từng ngành mà sẽ quy định số lượng tín chỉ tối thiểu để tốt nghiệp em nhé
em không tham gia hoạt động nào do trường phát động thì có được tốt nghiệp không ạ?,theo quy định của nhà trường thì trung bình điểm rèn luyện của em phải từ 50 điểm trở lên mới được cấp bằng tốt nghiệp nhé
Bạn là sinh viên năm mấy vậy?,Minh sinh viên năm 4
Trường mình có cơ sở vật chất như thế nào ?,Cơ sở vật chất trường mình rất tốt
Thư viện trường mình như thế nào ?,Thư viện trường mình rất rộng và hiện đại
Thư viên năm ở khu nào vậy?,"Nằm ở khu hành chính, tòa nhà màu cam"
học phí trung bình của trường là bao nhiêu một năm ạ?,"tùy ngành nhé bạn, mà trung bình chắc là khoảng 50 triệu 1 năm"
trường có hồ bơi không ạ?,có nhé bạn
muốn ra trường thì mình phải đạt những điều kiện gì ạ?,"trước hết là bạn phải học đủ chỉ, ngoài ra bạn phải có chứng chỉ quốc phòng, bơi và đạt đủ điều kiện tiếng anh nhé"
nếu muốn gửi xe thì trường có chỗ gửi xe không ạ?,"tất nhiên là có rồi, không chỉ có mà có tận 3 hầm gửi xe luôn"
mình nghe nói trường mình đạt chuẩn quốc tế không biết có thật không ạ?,"thật chứ, không tin thì cứ tra google sẽ rõ"
"ngành công nghệ thông tin trường dạy có ổn không ạ, do mình muốn đăng ký ngành đó á?","Rất ổn luôn là đằng khác, trường có tổ chức thực tập cho các bạn sinh viên năm cuối thì các doanh nghiệp rất ưng ý luôn"
